q1,q2,p
Do birds have heart& brain?,Does the brain power the heart or does the heart power the brain?,0
"If Superman punched me in the face while holding back ninety-nine percent of his power, what would happen?","What are some of the best examples of ""life is ten percent what happens to you and ninety percent how you react to it""?",0
Do you think President Obama will ever release his college transcripts/grades?,Will Donald Trump release his tax returns now that he's the president-elect of the United States?,0
"Why do many Europeans think Americans are ""dumb"" even when the U.S. has the highest GDP in the world?",Why are there so many mass shootings in the U.S.?,0
Can I make money online?,What is make money?,0
What is the saddest thing about your grandmother or grandfather?,Do German companies have business license?,0
Should I trademark the name of my startup?,Can I copyright the name of my business?,0
Is it possible to become a pilot after completing class 12 in BIPC?,I want to change my school after completing class 11 from an institute. Is it possible to do so?,0
Who wouldn't go into Noah's Ark?,Has Noah's Ark been found?,0
Where is the smooth endoplasmic reticulum located?,What is the definition and function of Smooth Endoplasmic Reticulum?,0
What is a pit gantry in motorsports?,Motorsports: Is MotoGP more dangerous than Formula 1?,0
What habits have changed people's lives?,How can I change my daily habits?,0
What is bulletproof coffee?,Does bulletproof coffee work? Is it legitimate?,0
"Hypothetically, how many countries can a single person become the president of?",I have done mechanical engg and I m jobless I want to pursue acting and want to make career but to safe side I want mechanical job pls help?,0
Is your life going according to your plan?,Did your life ever go according to your plan?,0
What is the easiest way to start a startup?,How can I start startup?,0
What fees can be charged for a celebrity lookalike appearance?,How can I find my look alike when I am having her photo?,0
Why does all the world admire Vietnam political system?,"Why have all the justice systems of the world moved away from the principle of ""An eye for an eye""?",0
